,icpsr,state,year
0,1,Connecticut,1788.0
1,2,Maine,1820.0
2,3,Massachusetts,1788.0
3,4,New Hampshire,1788.0
4,5,Rhode Island,1790.0
5,6,Vermont,1791.0
6,11,Delaware,1787.0
7,12,New Jersey,1787.0
8,13,New York,1788.0
9,14,Pennsylvania,1787.0
10,21,Illinois,1818.0
11,22,Indiana,1816.0
12,23,Michigan,1837.0
13,24,Ohio,1803.0
14,25,Wisconsin,1848.0
15,31,Iowa,1846.0
16,32,Kansas,1861.0
17,33,Minnesota,1858.0
18,34,Missouri,1821.0
19,35,Nebraska,1867.0
20,36,North Dakota,1889.0
21,37,South Dakota,1889.0
22,41,Alabama,1819.0
23,42,Arkansas,1836.0
24,43,Florida,1845.0
25,44,Georgia,1788.0
26,45,Louisiana,1812.0
27,46,Mississippi,1817.0
28,47,North Carolina,1789.0
29,48,South Carolina,1788.0
30,49,Texas,1845.0
31,40,Virginia,1788.0
32,51,Kentucky,1792.0
33,52,Maryland,1788.0
34,53,Oklahoma,1907.0
35,54,Tennessee,1796.0
36,55,Washington D.C.,
37,56,West Virginia,1863.0
38,61,Arizona,1912.0
39,62,Colorado,1876.0
40,63,Idaho,1890.0
41,64,Montana,1889.0
42,65,Nevada,1864.0
43,66,New Mexico,1912.0
44,67,Utah,1896.0
45,68,Wyoming,1890.0
46,71,California,1850.0
47,72,Oregon,1859.0
48,73,Washington,1889.0
49,81,Alaska,1959.0
50,82,Hawaii,1959.0
