,Distance,roadORtrack,Place,Time,Date
0,0.1,track,Athens,0.162833333333333,2005-06-14
1,0.15,track,Cassino,0.24666666666666698,1983-05-22
2,0.2,track,Atlanta,0.322,1996-08-01
3,0.3,track,Pretoria,0.5141666666666671,2000-03-24
4,0.4,track,Seville,0.719666666666667,1999-08-26
5,0.5,track,Busto Arsizio,1.00133333333333,1984-05-26
6,0.6,track,Santa Monica,1.2135,1986-05-24
7,0.8,track,Cologne,1.6851666666666698,1997-08-24
8,1.0,track,Rieti,2.19933333333333,1999-09-05
9,1.5,track,Rome,3.43333333333333,1998-07-14
10,1.609,track,Rome,3.7188333333333303,1999-07-07
11,2.0,track,Berlin,4.7465,1999-09-07
12,3.0,track,Rieti,7.3445,1996-09-01
13,3.218,track,Hechtel,7.97683333333333,1997-07-19
14,5.0,track,Hengelo,12.6225,2004-05-31
15,10.0,track,Brussels,26.2921666666667,2005-08-26
16,15.0,track,La Fleche,42.566666666666706,1991-03-30
17,20.0,track,La Fleche,56.9266666666667,1991-03-30
18,25.0,track,Christchurch,73.93,1981-03-22
19,30.0,track,Christchurch,89.3133333333333,1981-03-22
20,50.0,track,Timperley,168.1,1980-06-07
21,64.36,track,London,228.583333333333,1982-10-16
22,100.0,track,London,370.333333333333,1978-10-28
23,160.9,track,London,688.05,2002-10-20
24,5.0,road,Carlsbad,13.0,2000-03-26
25,6.436,road,Groningen,17.1666666666667,2005-10-09
26,8.0,road,Dublin,22.033333333333303,1993-05-02
27,8.045,road,New Orleans,22.0833333333333,1993-03-20
28,10.0,road,Doha,27.033333333333303,2002-12-11
29,12.0,road,Evansville,33.5166666666667,1997-05-10
30,15.0,road,Tilburg,41.3666666666667,2005-09-04
31,16.09,road,Tilburg,44.4,2005-09-04
32,20.0,road,Phoenix-Tempe,55.8,2006-01-15
33,25.0,road,Alphen aan den Rijn,71.6166666666667,2006-03-12
34,30.0,road,Kumamoto,88.0,2005-02-27
35,32.18,road,Chicago,95.3666666666667,1985-10-20
36,50.0,road,Claremont-Kirstenbosch,163.63333333333298,1988-04-12
37,100.0,road,Lake Saroma,373.55,1998-06-21
38,160.9,road,New York,706.616666666667,1984-05-08
39,290.221,road,Basle,1440.0,1998-05-03
