,EN,GBT,KNN,NN-1L,NN-2L,RF,SVM,MeanScore
Target,2.8966,0.4672,0.8586,0.3849,0.4251,0.4644,0.757,0.8934
CatBoost,2.9046,0.4683,0.8501,0.3673,0.4663,0.4584,0.751,0.8952
LeaveOneOut,2.8969,0.465,0.8724,0.4213,0.4538,0.4639,0.7674,0.9058
GLMM,2.9036,0.5633,0.872,0.3854,0.4301,0.5843,0.7765,0.9307
OneHot,2.9973,0.4158,0.8857,0.5745,0.5489,0.4344,0.8145,0.953
MEstimate,2.9046,0.581,0.8661,0.4505,0.4392,0.6188,0.8205,0.9544
BaseN,2.9973,0.4698,0.9462,0.5035,0.553,0.4437,0.7947,0.9583
Binary,2.9973,0.4698,0.9462,0.5035,0.553,0.4437,0.7947,0.9583
Polynomial,2.9804,0.4805,0.8857,0.5813,0.533,0.5204,0.7701,0.9645
Sum,2.9083,0.4143,0.9928,0.6102,0.5933,0.4432,0.8325,0.9706
Hashing,2.9973,0.5191,1.0069,0.5525,0.5888,0.4882,0.8475,1.0
JamesStein,2.9789,0.5633,0.9043,0.5096,0.5064,0.6098,0.9633,1.0051
Drop,2.9973,0.6279,0.9892,0.5888,0.5202,0.5911,0.8992,1.0305
BackwardDifference,2.9973,0.4793,1.2492,0.6625,0.7158,0.4638,0.8612,1.0613
Ordinal,3.064,0.4839,2.0887,2.2734,1.6932,0.4564,1.8464,1.7009
Helmert,3.0257,0.4382,2.1581,2.0526,1.748,0.4544,2.0821,1.7084
Count,2.7939,0.4804,1.5698,13.1609,11.6843,0.453,2.4903,4.6618
